"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Missed the TC Library #bookclub this past Tues? Read The Butcher Boy by Patrick McCabe and come to the 10/28 meeting! http://t.co/aaZPnY9dVY",FALSE,0,NA,2014-10-02 19:11:25,FALSE,NA,"517753741223936000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"@klbz Here is an official note: http://t.co/Im45H4hEmN Now rebooting &amp; restoring...",FALSE,0,"klbz",2014-05-19 17:49:04,FALSE,"468438530449215488","468448265152004096","14811876","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Working on getting our online library services back online. Thanks for your patience!",FALSE,0,NA,2014-05-19 17:48:05,FALSE,NA,"468448016454914049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Join our #guesttalk with Robin K. Berson on the power quilts can have on education and advocacy! Wed. 4/16 at 4pm http://t.co/bB0t0Hjaj2",FALSE,0,NA,2014-04-14 14:36:22,FALSE,NA,"455716196374310912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"April is child abuse prevention Month! Stop by the info table in the library lobby Today 4/7 3-4:30pm #StopChildAbuse http://t.co/FHxUl0Yhgn",FALSE,0,NA,2014-04-07 14:58:55,FALSE,NA,"453185155776385024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Join our #guesttalk w/ Daniel Trohler from @uni_lu on the effect of edu research on school reform. Tues 4/1 @ 7pm! http://t.co/bB0t0Hjaj2",FALSE,0,NA,2014-03-31 16:44:55,FALSE,NA,"450675117224644608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"What's your strength? Join our convo inspired by @amychua and Jed Rubenfeld's book #TheTriplePackage Thur 3/27 @ 4pm! http://t.co/0JTX6nvKRK",FALSE,0,NA,2014-03-24 15:48:22,FALSE,NA,"448124169696591872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"New Book! ""Never Have I Ever"" by @KTHeaney! Check it out today! http://t.co/GIxlFZxhj8",FALSE,0,NA,2014-03-12 03:19:38,FALSE,NA,"443587090669117440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Check out this cool #1920s picture from the Rothman Lantern Slide Collection on @Pressible's Archival Revival site! http://t.co/uNSJPk6zFg",FALSE,0,NA,2014-03-12 02:42:08,FALSE,NA,"443577652470091777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",0,FALSE,FALSE,NA,NA
"Join us tomorrow for the weekly Neurodynamic Lunch Hour, hosted by Ted Dimon, 12:45-1:45pm in Rm 305 Russell Hall. #awareness #mindfulness",FALSE,0,NA,2014-03-11 03:08:45,FALSE,NA,"443221964942217216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LibraryTC",1,FALSE,FALSE,NA,NA
